frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"45.76162","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.7652","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.76912","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.77335","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.77725","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.78118","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.78518","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.78941","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.7944","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.80124","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.80519","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.8094","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.81322","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.81853","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.82579","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.83346","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.8383","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.84548","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.84927","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.85721","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.86189","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.86921","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.87352","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.87727","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.88119","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.88534","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.88926","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.89317","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.89729","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.90126","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.90543","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.90978","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.91328","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.91725","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.92123","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.92514","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.92925","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.93475","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.94136","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.94965","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.9576","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.9656","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.96917","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.97318","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.9773","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.98116","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.9852","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.98943","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.99355","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.99728","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"46.00117","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"46.00523","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"46.00931","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
